12100;8300;14.6515
5300;8700;14.5093
3500;13900;14.0639
5100;1900;15.1084
9900;13700;13.919
2900;900;13.1304
7900;6700;14.5724
16900;4900;15.0814
18700;1500;13.91
2700;2100;13.4024
10700;5100;14.9395
7500;12900;15.2159
5500;11100;14.5777
9500;9100;14.2483
15300;3100;14.4281
4700;9700;15.2606
16700;15700;16.1859
19500;9700;14.2079
16900;13100;16.9583
900;3700;13.8354
500;11900;14.1859
9100;1300;14.0381
9100;13700;14.3685
9900;12900;13.4018
6300;100;15.8953
3700;5100;12.8667
16300;900;15.1039
18300;13500;15.7736
9500;6900;14.1333
17900;3100;13.3369
9900;15500;15.1362
7100;8900;15.0847
19300;7100;14.2498
2300;5700;12.6811
7300;8900;14.9384
13900;3700;15.6005
8500;10100;13.7796
8100;8700;15.2907
14700;11900;15.6881
6300;2300;15.3677
11900;12900;14.3283
18100;7100;14.7374
11300;7100;15.0547
12500;3100;14.8889
2700;12700;14.436
2700;4300;12.1491
8500;11300;13.624
1500;900;14.188
7300;1300;14.9072
10700;4100;15.2029
7100;1900;15.3468
3900;8500;15.939
17100;6100;15.7269
14100;10100;15.3238
11500;4900;14.0445
13300;15700;14.4032
1900;12100;14.3586
15100;2900;14.6007
6500;900;16.1458
8900;6100;15.7727
4500;2300;13.6234
12900;10300;15.1024
10900;5700;15.3546
3500;700;13.8431
16300;3700;14.9427
900;5100;14.4139
12900;12900;13.6177
15300;9300;16.3787
7300;6900;14.258
16300;12500;15.7772
100;8900;14.6553
1700;11700;14.3627
17500;11100;15.9659
14900;8300;16.0095
8300;10900;13.9639
4100;14500;14.2649
11100;15300;15.7684
500;4900;14.591
13100;1500;15.1377
18900;1700;14.095
3500;7500;15.1486
3700;6900;13.9584
14500;13300;14.7381
4900;9100;15.0689
9700;5700;15.8042
